tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
tt0492749,movie,Barbers Sorrow,Rihatuten aruji no kanashimi,2002,97,Comedy
tt0492751,short,The Rock of Ages,The Rock of Ages,1903,\N,"Comedy,Short"
tt0492752,short,Rome and the Vatican,Rome and the Vatican,1903,\N,"Documentary,Short"
tt0492753,tvMovie,Der Ruf der Berge,Der Ruf der Berge,2005,89,Romance
tt0492754,movie,Salvage,Salvage,2006,80,"Horror,Mystery,Thriller"
tt0492755,movie,Lost in Love,Sarang-eul nochida,2006,115,Romance
tt0492756,short,Scenes at the Zoo,Scenes at the Zoo,1903,\N,"Documentary,Short"
tt0492757,short,Schuld und Sühne,Schuld und Sühne,1910,\N,Short
tt0492758,video,Scoring  War of the Worlds ,Scoring  War of the Worlds ,2005,12,Short
tt0492760,short,Serenaders Difficulties,Serenaders Difficulties,1903,\N,"Comedy,Short"
tt0492765,movie,Sha ren hua,Sha ren hua,1966,\N,Drama
tt0492766,videoGame,Shadow of the Beast,Shadow of the Beast,1989,\N,"Action,Adventure,Horror"
tt0492771,short,She Fell Fainting Into His Arms,She Fell Fainting Into His Arms,1903,\N,"Comedy,Short"
tt0492773,movie,Satoru: Fourteen,Shonen to hoshi to jitensha,2005,85,Drama
tt0492774,short,Shooting the Rapids at Luna Park,Shooting the Rapids at Luna Park,1903,\N,"Documentary,Short"
tt0492775,short,La silla,La silla,2005,4,Short
tt0492776,short,Sirens of Bastogne,Sirens of Bastogne,2005,11,"Drama,Short"
tt0492778,short,The Smoky Stove,The Smoky Stove,1903,\N,"Comedy,Short"
tt0492781,short,Springfield Fire Department,Springfield Fire Department,1903,\N,"Documentary,Short"
tt0492782,video,Steven Spielberg and the Original  War of the Worlds ,Steven Spielberg and the Original  War of the Worlds ,2005,8,Short
tt0492784,movie,Strange Circus,Kimyô na sâkasu,2005,108,"Drama,Horror,Mystery"
tt0492790,short,Street Scene in Hyderabad,Street Scene in Hyderabad,1903,\N,"Documentary,Short"
tt0492791,short,Beyond the Horizon,Beyond the Horizon,2005,5,"Drama,Short,Thriller"
tt0492792,tvMovie,Le survivant,Le survivant,1969,\N,\N
tt0492795,tvMovie,Sylvérie ou les fonds hollandais,Sylvérie ou les fonds hollandais,1965,\N,\N
tt0492796,tvMovie,Système deux,Système deux,1962,\N,\N
tt0492797,movie,Sündige Liebe,Sündige Liebe,1911,\N,\N
tt0492799,short,Tally Ho!,Tally Ho!,1901,\N,"Comedy,Short"
tt0492801,tvEpisode,Sonnenfinsternis,Sonnenfinsternis,2006,90,"Crime,Drama,Thriller"
tt0492811,short,Ten Nights in a Barroom,Ten Nights in a Barroom,1903,\N,"Drama,Short"
tt0492814,short,Ties,Ties,2005,14,"Drama,Short"
tt0492816,short,Toodles and Her Strawberry Tart,Toodles and Her Strawberry Tart,1903,\N,"Comedy,Short"
tt0492819,movie,Der Trompeter von Säckingen,Der Trompeter von Säckingen,1918,\N,Drama
tt0492820,movie,Moon & Cherry,Tsuki to Cherry,2004,82,Drama
tt0492821,short,Two Chappies in a Box,Two Chappies in a Box,1903,\N,"Comedy,Short"
tt0492823,tvMovie,Un abolitionniste: Robert Badinter,Un abolitionniste: Robert Badinter,2001,55,Documentary
tt0492824,tvEpisode,Un paquebot dans la tête,Un paquebot dans la tête,1981,\N,Drama
tt0492825,short,Uncle Reuben at the Waldorf,Uncle Reuben at the Waldorf,1903,\N,"Comedy,Short"
tt0492826,short,Une journée entière sans mentir,Une journée entière sans mentir,1995,12,Short
tt0492827,short,Vesta Victoria as Grace Darling,Vesta Victoria as Grace Darling,1902,\N,Short
tt0492828,short,La virgen puta,La virgen puta,2005,8,Short
tt0492829,short,Visions,Visions,1978,11,"Documentary,Short"
tt0492830,short,Las viudas,Las viudas,2004,7,Short
tt0492831,tvMovie,Viva Mexico,Viva Mexico,1980,140,Music
tt0492832,tvMovie,Le volcan de la rue Arbat,Le volcan de la rue Arbat,1980,105,Comedy
tt0492833,short,La voluntad de dios,La voluntad de dios,2005,10,Short
tt0492834,short,Vor dem Gesetz,Vor dem Gesetz,1999,21,Short
tt0492835,movie,Wang-ui namja,Wang-ui namja,2005,119,"Drama,History"
tt0492836,short,Washerwomen and Chimney-Sweep,The Washerwomen and the Sweep,1903,\N,"Comedy,Short"
tt0492837,video,We Are Not Alone,We Are Not Alone,2005,3,Short
tt0492839,short,A Whirling Tango,A Whirling Tango,2005,4,Short
tt0492843,movie,Wille und Werk,Wille und Werk,1929,\N,Documentary
tt0492847,movie,Yi fu zi xia ji,Yi fu zi xia ji,1956,110,Drama
tt0492850,movie,Yumeno,Yumeno,2005,93,Drama
tt0492851,short,Les yèmènites,Les yèmènites,2004,12,Short
